Array_Size,Partition_N,Sample_Key,Found,Time_ns
60000,11,766504,Found,0
60000,13,968185,Found,0
60000,13,788551,Found,0
60000,13,927594,Found,0
60000,13,984546,Found,0
60000,13,869415,Found,0
60000,15,142299,Found,0
60000,15,138926,Found,0
60000,15,629146,Found,0
60000,15,648358,Found,0
60000,15,350241,Found,0
60000,17,550310,Found,0
60000,17,114738,Found,0
60000,17,115351,Found,0
60000,17,786573,Found,0
60000,17,265781,Found,0
60000,19,500656,Found,0
60000,19,686078,Found,0
60000,19,468143,Found,0
60000,19,337643,Found,0
60000,19,122030,Found,0
70000,2,856578,Found,0
70000,2,237637,Found,0
70000,2,450776,Found,0
70000,2,594178,Found,0
70000,2,433995,Found,0
70000,3,615128,Found,0
70000,3,477957,Found,0
70000,3,861777,Found,0
70000,3,668926,Found,0
70000,3,807713,Found,0
70000,5,681972,Found,0
70000,5,876728,Found,0
70000,5,170421,Found,0
70000,5,898231,Found,0
70000,5,470503,Found,0
70000,7,618386,Found,0
70000,7,13990,Found,0
70000,7,386798,Found,0
70000,7,219155,Found,0
70000,7,110460,Found,0
70000,9,394743,Found,0
70000,9,59288,Found,0
70000,9,857210,Found,0
70000,9,784880,Found,0
70000,9,555696,Found,0
70000,11,778285,Found,0
70000,11,652183,Found,0
70000,11,636744,Found,0
70000,11,607084,Found,0
70000,11,39823,Found,0
70000,13,698533,Found,0
70000,13,70859,Found,0
70000,13,548637,Found,0
70000,13,936031,Found,0
70000,13,662896,Found,0
70000,15,614149,Found,0
70000,15,609899,Found,0
70000,15,758207,Found,0
70000,15,526678,Found,0
70000,15,702057,Found,0
70000,17,527559,Found,0
70000,17,554484,Found,0
70000,17,236001,Found,0
70000,17,35326,Found,0
70000,17,210070,Found,0
70000,19,490162,Found,0
70000,19,183206,Found,0
70000,19,157671,Found,0
70000,19,190321,Found,0
70000,19,122650,Found,0
80000,2,960762,Found,0
80000,2,977934,Found,0
80000,2,580291,Found,0
80000,2,143488,Found,0
80000,2,542320,Found,0
80000,3,995074,Found,0
80000,3,629718,Found,0
80000,3,922744,Found,0
80000,3,852767,Found,0
80000,3,967426,Found,0
80000,5,139348,Found,0
80000,5,192666,Found,0
80000,5,126042,Found,0
80000,5,493922,Found,0
80000,5,995882,Found,0
80000,7,781759,Found,0
80000,7,31023,Found,0
80000,7,199672,Found,0
80000,7,103325,Found,0
80000,7,963736,Found,0
80000,9,720940,Found,0
80000,9,288480,Found,0
80000,9,810224,Found,0
80000,9,961237,Found,0
80000,9,919525,Found,0
80000,11,722877,Found,0
80000,11,58524,Found,0
80000,11,293270,Found,0
80000,11,33707,Found,0
80000,11,257042,Found,0
80000,13,142412,Found,0
80000,13,457291,Found,0
80000,13,876446,Found,0
80000,13,402853,Found,0
80000,13,106711,Found,0
80000,15,876230,Found,0
80000,15,209786,Found,0
80000,15,157888,Found,0
80000,15,262805,Found,0
80000,15,505685,Found,0
80000,17,93784,Found,0
80000,17,462482,Found,0
80000,17,624006,Found,0
80000,17,550087,Found,0
80000,17,980825,Found,0
80000,19,284696,Found,0
80000,19,237187,Found,0
80000,19,77918,Found,0
80000,19,884110,Found,0
80000,19,355102,Found,0
90000,2,410246,Found,0
90000,2,768948,Found,0
90000,2,465188,Found,0
90000,2,932047,Found,0
90000,2,543383,Found,0
90000,3,961853,Found,0
90000,3,630370,Found,0
90000,3,75586,Found,0
90000,3,463466,Found,0
90000,3,956027,Found,0
90000,5,941359,Found,0
90000,5,657698,Found,0
90000,5,762106,Found,0
90000,5,94315,Found,0
90000,5,814124,Found,0
90000,7,924399,Found,0
90000,7,920252,Found,0
90000,7,457408,Found,0
90000,7,421744,Found,0
90000,7,276394,Found,0
90000,9,744466,Found,0
90000,9,577692,Found,0
90000,9,12618,Found,0
90000,9,375479,Found,0
90000,9,542564,Found,0
90000,11,680605,Found,0
90000,11,619579,Found,0
90000,11,412885,Found,0
90000,11,579658,Found,0
90000,11,553122,Found,0
90000,13,343530,Found,0
